Region,Gender,General Under 12 Years,General 12-Under 15 Years,General 15-Under 18 Years,Indigenous Under 12 Years,Indigenous 12-Under 15 Years,Indigenous 15-Under 18 Years,Year
Yilan County,Female,3,16,8,-,-,-,2017
Hsinchu County,Male,-,2,2,-,-,-,2017
Hsinchu County,Female,-,8,5,1,1,1,2017
Miaoli County,Male,-,2,-,-,-,-,2017
Miaoli County,Female,-,2,6,-,-,2,2017
Changhua County,Male,2,2,5,-,-,-,2017
Changhua County,Female,3,47,41,-,-,1,2017
Nantou County,Male,-,1,1,-,1,-,2017
Nantou County,Female,-,6,9,-,-,1,2017
Yunlin County,Male,-,4,24,-,-,-,2017
Yunlin County,Female,-,5,9,-,-,-,2017
Chiayi County,Male,-,-,-,-,-,1,2017
Chiayi County,Female,-,6,10,-,-,-,2017
Pingtung County,Male,-,2,2,-,-,-,2017
Pingtung County,Female,2,7,12,-,2,1,2017
Taitung County,Male,-,-,-,-,-,1,2017
Taitung County,Female,1,1,6,-,2,-,2017
Hualien County,Male,-,-,-,-,-,-,2017
Hualien County,Female,-,-,-,-,-,-,2017
Penghu County,Male,-,-,-,-,-,-,2017
Penghu County,Female,-,-,-,-,-,-,2017
Keelung City,Male,-,3,2,-,1,-,2017
Keelung City,Female,-,11,11,-,-,-,2017
Hsinchu City,Male,-,-,1,-,1,-,2017
Hsinchu City,Female,-,11,5,-,1,1,2017
Chiayi City,Male,-,-,1,-,-,-,2017
Chiayi City,Female,-,1,5,-,-,1,2017
Kinmen County,Male,-,-,1,-,-,-,2017
Kinmen County,Female,-,1,3,-,-,1,2017
Lienchiang County,Male,-,-,-,-,-,-,2017
Lienchiang County,Female,-,-,-,-,-,-,2017
